#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
190,Javonte Green,CHI,65,23.4,7.2,2.7,5.0,54.2,0.6,1.6,35.6,1.2,1.5,83.3,1.4,2.8,4.2,0.9,1.0,0.5,0.5,10.9
191,Gary Payton II,GSW,71,17.6,7.1,3.0,4.8,61.6,0.6,1.7,35.8,0.5,0.8,60.3,1.0,2.5,3.5,0.9,1.4,0.3,0.6,10.4
192,Maxi Kleber,DAL,59,24.6,7.0,2.4,6.0,39.8,1.4,4.3,32.5,0.8,1.1,70.8,1.2,4.7,5.9,1.2,0.5,1.0,0.8,10.8
193,Steven Adams,MEM,76,26.3,6.9,2.8,5.1,54.7,0.0,0.0,0.0,1.4,2.6,54.3,4.6,5.4,10.0,3.4,0.9,0.8,1.5,17.0
194,Jarred Vanderbilt,MIN,74,25.4,6.9,2.9,4.9,58.7,0.0,0.2,14.3,1.2,1.8,65.6,2.9,5.5,8.4,1.3,1.3,0.6,1.0,15.0
195,Killian Hayes,DET,66,25.0,6.9,2.7,7.0,38.3,0.7,2.5,26.3,0.9,1.1,77.0,0.5,2.6,3.2,4.2,1.2,0.5,1.7,9.7
196,Torrey Craig,PHX,78,20.5,6.6,2.6,5.7,45.4,1.0,3.0,32.9,0.5,0.7,75.0,1.1,2.9,4.0,1.2,0.6,0.5,0.9,8.7
197,Mason Plumlee,CHA,73,24.6,6.5,2.8,4.4,64.1,0.0,0.0,0.0,0.9,2.3,39.2,2.4,5.3,7.7,3.1,0.8,0.7,1.4,14.5
198,JaMychal Green,DEN,67,16.2,6.4,2.4,4.9,48.6,0.5,1.9,26.6,1.2,1.4,87.1,1.2,3.0,4.2,0.9,0.6,0.4,0.9,9.0
199,Avery Bradley,LAL,62,22.7,6.4,2.4,5.6,42.3,1.3,3.4,39.0,0.3,0.3,88.9,0.5,1.7,2.2,0.8,0.9,0.1,0.6,6.4
200,Aaron Holiday,PHX,63,16.2,6.3,2.4,5.4,44.7,0.6,1.6,37.9,0.9,1.1,86.8,0.4,1.6,1.9,2.4,0.7,0.1,1.1,7.3
